Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Costa Rica",9053.852,9183.8955,9319.767,9451.615,9591.554,9831.25,10086.783,10308.374,10880.477,11584.677,11935.158,11638.002,12031.571,12366,12800.048,12952.746,13241.992,13557.923,13959.342,14372.68,14583.144,14775.292,13996.39,14931.956,15496.82
"Cote d'Ivoire",2393.499,2417.4575,2352.8564,2342.8276,2298.4565,2263.0925,2280.788,2312.8425,2343.927,2380.1155,2435.2705,2508.822,2555.0164,2444,2648.7744,2821.8762,2995.1501,3182.1077,3328.9795,3450.22,3497.8928,3703.0876,3682.1353,3853.1626,4011.7122
"Croatia",12476.047,12579.877,13244.541,13817.681,14683.838,15740.499,16628.574,17581.357,18707.49,19984.037,20717.316,19501.588,19511.35,19813,19413.893,19402.938,19403.594,20025.754,20915.227,21852.021,22678.035,23590.277,21672.479,25059.947,26986.752
"Cuba",3415.5452,3623.5955,4009.3398,4231.3237,4369.0405,4506.676,4561.0166,4713.7065,5416.141,5635.6885,6004.894,6248.304,6578.1904,6928,7138,7379,7628,7889,7928.05,8075.465,8262.988,8257.785,7364.1055,7485.821,7648.704
"Cyprus",20212.738,21147.525,22326.799,23095.736,23828.072,24347.076,25355.24,26164.209,27142.018,28109.996,28736.975,27735.033,27630.104,27272,25933.494,24281.812,24114.586,25081.504,26607.555,27872.812,29089.975,30284.795,28634.457,30252.326,31523.498
"Czechia",15657.426,16102.508,17056.16,17868.568,18431.027,19344.09,20555.035,22128.58,23888.164,25382.807,26186.045,25093.863,25922.395,26725,26483.38,26467.629,27030.19,28437.604,29097.504,30531.383,31405.09,32226.553,30365.37,31452.557,32247.395
"Czechoslovakia",14485.928,14769.399,15378.206,15999.641,16595.398,17407.074,18389.229,19774.06,21409.428,23146.207,24256.883,23659.475,24573.309,25289,25211.404,25237.068,25808.537,27144.95,27732.625,28926.492,29842.957,30607.314,29043.441,30071.377,30640.914
"Democratic Republic of Congo",472.92395,452.00443,414.04694,403.6019,413.82523,436.02847,463.99698,490.6905,515.25836,546.0368,578.8487,595.01605,637.1298,681,714.7897,756.906,784.5593,806.7695,783.0341,785.1293,796.89246,806.479,794.2714,817.43225,844.172
"Denmark",36361.23,37523.426,39021.176,39425.863,39709.37,39983.145,41178.562,42264.63,44025.484,44481.47,44246.4,42090.17,42932.4,43575,43509.613,43743.61,44215.633,44940.887,46018.984,47022.01,47717.457,48238.656,47171.086,49258.75,50689.68
"Djibouti",1974.5657,1930.5078,1880.9988,1845.6991,1824.4551,1945.6655,2097.1233,2126.8052,2342.2192,2396.018,2463.4448,2521.5046,2543.8733,2590,2654,2724,2823,2941,3084.5425,3197.9792,3308.117,3436.9502,3426.696,3541.5713,3623.0603
"Dominica",5462.6973,5584.024,5696.955,5799.8164,5771.375,6321.9556,6602.7,6697.5347,7133.7812,7698.7734,8454.0625,8511.858,8768.478,8944,8823,9145,9507,9319,9567.251,8877.882,9153.232,9575.093,7974.3066,8419.473,8879.6455
"Dominican Republic",6012.6924,6419.7812,6788.084,6917.0303,7327.3657,7324.6973,7441.4478,8156.431,9059.885,9866.458,10225.529,10365.675,11276.461,11679,11854.366,12290.143,13011.521,13765.119,14530.1,15053.832,15944.744,16587.236,15325.654,17046.646,17713.52
"East Asia (MPD)",0,0,8152.877,0,0,0,0,0,0,0,0,0,12862.345,0,0,0,0,16298.285,17048.79,17909.393,18785.072,19580.744,19749.514,21157.305,21728.52
"Eastern Europe (MPD)",0,0,8833.693,0,0,0,0,0,0,0,0,0,16320.271,0,0,0,0,18062.734,18301.775,18917.457,19560.426,20051.041,19578.574,20696.99,20656.266
"Ecuador",7307.1694,6884.7925,6908.243,7131.194,7359.707,7468.5034,7958.921,8256.777,8521.56,8633.584,9103.872,9081.37,9327.213,9985,10398.948,10761.351,11016.161,10878.766,10603.806,10715.15,10716.904,10586.937,9646.065,9937.696,10124.076
"Egypt",5884.802,6211.0156,6593.5317,6914.937,7142.6865,7365.8027,7661.86,8021.8833,8509.614,9130.598,9698.017,10159.002,10719.291,10737,10774.53,10871.145,11135.728,11312.848,11458.447,11545.594,11895.312,12300.201,12234.504,12868.262,13205.406
"El Salvador",5077.892,5263.8867,5403.715,5550.187,5751.0605,5957.201,6145.98,6441.4956,6782.2314,7139.182,7312.656,7166.159,7351.1147,7607,7726,7845,7935,8109,8289.273,8454.2,8644.79,8849.834,8137.9746,9017.392,9218.905
"Equatorial Guinea",9712.227,11690.135,12914.852,21167.742,24845.043,27571.158,33419.887,35569.707,36615.707,41277.754,47562.32,47161.285,42037.9,43841,46255,43209,41907,37822,33206.637,30206.871,27353.846,25006.34,23300.297,22537.541,22707.22
"Estonia",15593.005,15335.106,16806.975,17696.61,18589.15,19771.742,20803.758,22518.541,24578.816,26177.871,24429.021,20538.049,20713.426,21997,22784.3,23204.111,23982.828,24473.66,25196.154,26661.627,27596.41,28505.604,28261.582,30499.156,30067.395
