Name,Water,Energ (kcal),Protein,Lipid,Ash,Carbohydrt,Sugar,Calcium,Iron,Magnesium,Sodium,Zinc,Copper,Vit_C,Vit_B6,Cholestrl
COOKIES.PNUT BUTTER.COMMLY PREP.REG,6.1,477,9.6,23.6,1.8,58.9,31.83,35,2.51,45,415,0.53,0.2,0,0.087,1
COOKIES.PNUT BUTTER.COMMLY PREP.SOFT-TYPE,11.5,457,5.3,24.4,1.1,57.7,0,12,0.89,32,336,0.55,0.08,0,0.027,0
COOKIES.PNUT BUTTER.PREP FROM RECIPE,5.9,475,9,23.8,2,58.9,0,39,2.23,39,518,0.82,0.183,0.1,0.084,31
COOKIES.PNUT BUTTER.REFR DOUGH,12.6,458,8.2,25,2,52.1,0,101,1.7,37,397,0.68,0.151,0,0.142,27
COOKIES.PNUT BUTTER.REFR DOUGH.BKD,4,503,9.1,27.5,2.1,57.3,0,111,1.87,41,436,0.75,0.166,0,0.064,30
COOKIES.RAISIN.SOFT-TYPE,13.1,401,4.1,13.6,1.2,68,47.56,46,2.29,21,338,0.32,0.413,0.4,0.052,2
COOKIES.SHORTBREAD.COMMLY PREP.PECAN,3.3,542,4.9,32.5,1,58.3,0,30,2.43,18,281,0.58,0.152,0,0.02,33
COOKIES.SHORTBREAD.COMMLY PREP.PLN,3.7,502,6.1,24.1,1.5,64.5,15.08,35,2.74,17,455,0.53,0.144,0,0.081,20
COOKIES.SUGAR WAFERS W/CREME FILLING.REG,1,511,4.1,24.3,0.5,70.1,35.44,18,1.95,11,147,0.35,0.091,0,0.014,0
COOKIES.SUGAR WAFERS W/CREME FILLING.SPL DIETARY,4.4,502,3.1,25.7,0.9,66,0,53,1.44,6,9,0.2,0.038,0,0.009,0
COOKIES.SUGAR.COMMLY PREP.REG (INCL VANILLA),4.8,478,5.1,21.1,1.2,67.9,37.7,21,2.14,12,357,0.43,0.073,0.1,0.056,51
COOKIES.SUGAR.COMMLY PREP.SPL DIETARY,5.7,431,4.1,13,0.4,76.8,34.17,25,4.01,9,3,0.34,0.15,0,0.018,0
COOKIES.SUGAR.PREP FROM RECIPE.MADE W/MARGARINE,8.9,472,5.9,23.4,1.8,60,24.86,73,2.33,12,491,0.42,0.078,0.1,0.03,26
COOKIES.SUGAR.REFR DOUGH,14.5,436,4.2,20.7,1.5,59,21.56,81,1.65,7,422,0.24,0.037,0,0.019,29
COOKIES.SUGAR.REFR DOUGH.BKD,5,484,4.7,23.1,1.7,65.6,23.96,90,1.84,8,468,0.27,0.041,0,0.023,32
COOKIES.VANILLA SNDWCH W/CREME FILLING,2.2,483,4.5,20,1.2,72.1,39.3,27,2.21,14,349,0.4,0.114,0,0.018,0
COOKIES.VANILLA WAFERS.HIGHER FAT,4.2,473,4.3,19.4,1,71.1,0,25,2.21,12,306,0.33,0.124,0,0.024,0
COOKIES.VANILLA WAFERS.LOWER FAT,5.1,441,5,15.2,1.1,73.6,37.5,48,2.38,14,312,0.36,0.1,0,0.073,51
CORIANDER (CILANTRO) LEAVES.RAW,92.21,23,2.13,0.52,1.47,3.67,0.87,67,1.77,26,46,0.5,0.225,27,0.149,0
CORIANDER LEAF.DRIED,7.3,279,21.93,4.78,14.08,52.1,7.27,1246,42.46,694,211,4.72,1.786,566.7,0.61,0
CORIANDER SEED,8.86,298,12.37,17.77,6.02,54.99,0,709,16.32,330,35,4.7,0.975,21,0,0
CORN BEVERAGE,90.16,40,0.8,0.2,0.15,8.7,0.18,3,0.12,5,140,0.08,0.017,0,0.022,0
CORN BRAN.CRUDE,4.71,224,8.36,0.92,0.36,85.64,0,42,2.79,64,7,1.56,0.248,0,0.152,0
CORN CAKES,4.6,387,8.1,2.4,1.5,83.4,23.47,19,1.4,114,488,2,0.42,0,0.14,0
CORN CAKES.VERY LO NA,4.6,387,8.1,2.4,1.5,83.4,0,19,1.4,114,28,2,0.42,0,0.14,0
CORN FLR.DEGERMED.UNENR.YEL,9.81,375,5.59,1.39,0.46,82.75,0.64,2,0.91,18,1,0.37,0.142,0,0.097,0
CORN FLR.MASA.ENR.WHITE,9.03,365,9.34,3.78,1.57,76.27,0.64,141,7.21,110,5,1.78,0.169,0,0.37,0
CORN FLR.MASA.ENR.YEL,9.03,365,9.34,3.78,1.57,76.27,0,141,7.21,110,5,1.78,0.169,0,0.37,0
CORN FLR.WHOLE-GRAIN.BLUE (HARINA DE MAIZ MORADO),10.83,364,8.75,5.09,1.44,73.89,0,5,1.74,110,5,2.24,0.154,0,0.47,0
CORN FLR.WHOLE-GRAIN.WHITE,10.91,361,6.93,3.86,1.45,76.85,0.64,7,2.38,93,5,1.73,0.23,0,0.37,0
CORN FLR.WHOLE-GRAIN.YEL,10.91,361,6.93,3.86,1.45,76.85,0.64,7,2.38,93,5,1.73,0.23,0,0.37,0
CORN PUDD.HOME PREP,72.33,131,4.42,5.04,1.23,16.97,6.59,39,0.53,15,282,0.48,0.043,3.7,0.127,72
CORN W/RED&GRN PEPPERS.CND.SOL&LIQUIDS,77.5,75,2.33,0.55,1.45,18.17,0,5,0.79,25,347,0.37,0.06,8.8,0.097,0
CORN.DRIED (NAVAJO),8.1,386,9.88,5.22,1.86,74.93,5.38,15,1.92,124,13,3.05,0.195,0,0.372,0
CORN.DRIED.YEL (NORTHERN PLAINS INDIANS),6.36,419,14.48,10.64,2.24,66.27,21.32,25,2.61,149,4,3.06,0.293,0,1.11,0
CORN.SWEET.WHITE.RAW,75.96,86,3.22,1.18,0.62,19.02,3.22,2,0.52,37,15,0.45,0.054,6.8,0.055,0
CORN.SWT.WHITE.CKD.BLD.DRND.W/SALT,72.84,97,3.34,1.41,0.7,21.71,7.73,2,0.55,31,253,0.54,0.057,6.2,0.127,0
CORN.SWT.WHITE.CKD.BLD.DRND.WO/SALT,72.84,97,3.34,1.41,0.7,21.71,7.73,2,0.55,31,3,0.54,0.057,6.2,0.127,0
CORN.SWT.WHITE.CND.CRM STYLE.NO SALT,78.73,72,1.74,0.42,0.98,18.13,2.21,3,0.38,17,3,0.53,0.052,4.6,0.063,0
CORN.SWT.WHITE.CND.CRM STYLE.REG PK,78.73,72,1.74,0.42,0.98,18.13,2.21,3,0.38,17,285,0.53,0.052,4.6,0.063,0
CORN.SWT.WHITE.CND.VACUUM PK.NO SALT,76.58,79,2.41,0.5,1.07,19.44,0,5,0.42,23,3,0.46,0.048,8.1,0.055,0
CORN.SWT.WHITE.CND.VACUUM PK.REG PK,76.58,79,2.41,0.5,1.07,19.44,0,5,0.42,23,272,0.46,0.048,8.1,0.055,0
CORN.SWT.WHITE.CND.WHL KERNEL.DRND SOL,76.92,81,2.62,1,0.87,18.59,2.4,5,0.86,20,323,0.39,0.058,8.5,0.047,0
CORN.SWT.WHITE.CND.WHL KERNEL.NO SALT.SOL&LIQUIDS,81.34,64,1.95,0.5,0.8,15.41,0,4,0.41,16,12,0.36,0.056,5.5,0.037,0
CORN.SWT.WHITE.CND.WHL KERNEL.REG PK.SOL&LIQUIDS,81.34,64,1.95,0.5,0.8,15.41,0,4,0.41,16,213,0.36,0.056,5.5,0.037,0
CORN.SWT.WHITE.FRZ.KRNLS CUT OFF COB.BLD.DRND.W/SALT,76.73,80,2.75,0.43,0.53,19.56,3.12,4,0.35,19,245,0.4,0.037,3.1,0.129,0
CORN.SWT.WHITE.FRZ.KRNLS CUT OFF COB.BLD.DRND.WO/SALT,76.73,80,2.75,0.43,0.53,19.56,3.12,4,0.35,19,5,0.4,0.037,3.1,0.129,0
CORN.SWT.WHITE.FRZ.KRNLS CUT OFF COB.UNPREP,74.92,88,3.02,0.77,0.48,20.81,0,4,0.42,18,3,0.37,0.036,6.4,0.178,0
CORN.SWT.WHITE.FRZ.KRNLS ON COB.CKD.BLD.DRND.W/SALT,73.2,94,3.11,0.74,0.62,22.33,0,3,0.61,29,240,0.63,0.046,4.8,0.224,0
CORN.SWT.WHITE.FRZ.KRNLS ON COB.CKD.BLD.DRND.WO/SALT,73.2,94,3.11,0.74,0.62,22.33,0,3,0.61,29,4,0.63,0.046,4.8,0.224,0
CORN.SWT.WHITE.FRZ.KRNLS ON COB.UNPREP,71.79,98,3.28,0.78,0.65,23.5,0,4,0.68,32,5,0.7,0.051,7.2,0.179,0
CORN.SWT.YEL.CKD.BLD.DRND.W/SALT,73.41,96,3.41,1.5,0.71,20.98,4.54,3,0.45,26,253,0.62,0.049,5.5,0.139,0
CORN.SWT.YEL.CKD.BLD.DRND.WO/SALT,73.41,96,3.41,1.5,0.71,20.98,4.54,3,0.45,26,1,0.62,0.049,5.5,0.139,0
CORN.SWT.YEL.CND.BRINE PK.REG PK.SOL&LIQUIDS,81.34,64,1.95,0.5,0.8,15.41,2.83,4,0.41,16,213,0.36,0.056,5.5,0.037,0
CORN.SWT.YEL.CND.CRM STYLE.NO SALT,78.73,72,1.74,0.42,0.98,18.13,3.23,3,0.38,17,3,0.53,0.052,4.6,0.063,0
CORN.SWT.YEL.CND.CRM STYLE.REG PK,78.73,72,1.74,0.42,0.98,18.13,3.23,3,0.38,17,285,0.53,0.052,4.6,0.063,0
CORN.SWT.YEL.CND.NO SALT.SOL&LIQUIDS,81.34,64,1.95,0.5,0.8,15.41,2.83,4,0.41,16,12,0.36,0.056,5.5,0.037,0
CORN.SWT.YEL.CND.VACUUM PK.NO SALT,76.58,79,2.41,0.5,1.07,19.44,3.56,5,0.42,23,3,0.46,0.048,8.1,0.055,0
CORN.SWT.YEL.CND.VACUUM PK.REG PK,76.58,79,2.41,0.5,1.07,19.44,3.56,5,0.42,23,272,0.46,0.048,8.1,0.055,0
CORN.SWT.YEL.CND.WHL KERNEL.DRND SOL,76.71,81,2.64,0.93,0.92,18.8,3.04,5,0.72,15,298,0.37,0.053,0.7,0.065,0
CORN.SWT.YEL.FRZ.KRNLS CUT OFF COB.BLD.DRND.WO/SALT,77.03,81,2.55,0.67,0.44,19.3,3.07,3,0.47,28,1,0.63,0.048,3.5,0.099,0
CORN.SWT.YEL.FRZ.KRNLS CUT OFF COB.UNPREP,75,88,3.02,0.78,0.48,20.71,2.5,4,0.42,18,3,0.38,0.036,6.4,0.168,0
CORN.SWT.YEL.FRZ.KRNLS ON COB.CKD.BLD.DRND.W/SALT,73.2,93,3.11,0.74,0.62,22.33,3.59,3,0.61,29,240,0.63,0.046,4.8,0.224,0
CORN.SWT.YEL.FRZ.KRNLS ON COB.CKD.BLD.DRND.WO/SALT,73.2,93,3.11,0.74,0.62,22.33,3.59,3,0.61,29,4,0.63,0.046,4.8,0.224,0
CORN.SWT.YEL.FRZ.KRNLS ON COB.UNPREP,71.79,98,3.28,0.78,0.65,23.5,3.78,4,0.68,32,5,0.7,0.051,7.2,0.179,0
CORN.SWT.YEL.FRZ.KRNLS.CUT OFF COB.BLD.DRND.W/SALT,77.03,79,2.55,0.67,1.03,18.71,3.07,3,0.47,28,245,0.63,0.048,3.5,0.099,0
CORN.SWT.YEL.RAW,76.05,86,3.27,1.35,0.62,18.7,6.26,2,0.52,37,15,0.46,0.054,6.8,0.093,0
CORN.WHITE,10.37,365,9.42,4.74,1.2,74.26,0,7,2.71,127,35,2.21,0.314,0,0.622,0
CORN.WHITE.STMD (NAVAJO),8.09,386,9.72,5.18,1.81,75.2,6.47,14,2.29,123,4,3.15,0.231,0,0.289,0
CORN.YEL.WHL KERNEL.FRZ.MICROWAVED,68.4,131,3.62,1.42,0.69,25.87,3.36,5,0.39,25,4,0.53,0.054,0,0.12,0
CORN.YELLOW,10.37,365,9.42,4.74,1.2,74.26,0.64,7,2.71,127,35,2.21,0.314,0,0.622,0
CORN-BASED.EXTRUDED.CHIPS.BARBECUE-FLAVOR,1.2,523,7,32.7,2.8,56.2,0,131,1.54,77,763,1.06,0.166,1.7,0.23,0
CORN-BASED.EXTRUDED.CHIPS.PLN,0.33,518,6.03,28.41,2.22,63.01,1.16,164,1.32,84,616,1.58,0.217,0,0.117,0
CORN-BASED.EXTRUDED.CONES.NACHO-FLAVOR,1.9,536,6.5,31.7,2.6,57.3,0,36,1.27,25,952,0.48,0.059,0.1,0.116,5
CORN-BASED.EXTRUDED.CONES.PLN,2,510,5.8,26.9,2.3,62.9,0,3,2.54,11,1022,0.21,0.04,0,0.04,0
CORN-BASED.EXTRUDED.PUFFS OR TWISTS.CHEESE-FLAVOR,1.78,565,5.83,37.11,2.89,52.38,2.87,58,1.75,19,910,0.55,0.046,0,0.079,7
CORNED BEEF LOAF.JELLIED,69.1,153,22.9,6.1,3,0,0,11,2.04,11,953,4.09,0.06,0,0.12,47
CORNED BF & POTATOES IN TORTILLA (APACHE),52.51,224,7.91,8.31,1.92,29.35,1.79,27,1.8,22,511,0.88,0.066,0,0.214,11
CORNMEAL.BLUE (NAVAJO),5.7,398,10.4,5.44,1.54,76.93,1.81,5,2.91,133,7,2.91,0.218,0,0.593,0
CORNMEAL.DEGERMED.ENR.WHITE,11.26,369,7.25,1.79,0.54,79.15,1.66,3,4.32,35,7,0.71,0.076,0,0.198,0
CORNMEAL.DEGERMED.ENR.YEL,11.26,369,7.25,1.79,0.54,79.15,1.66,3,4.32,35,7,0.71,0.076,0,0.198,0
CORNMEAL.DEGERMED.UNENR.WHITE,11.26,369,7.25,1.79,0.54,79.15,1.66,3,1.1,35,7,0.71,0.076,0,0.198,0
CORNMEAL.DEGERMED.UNENR.YEL,11.26,369,7.25,1.79,0.54,79.15,1.66,3,1.1,35,7,0.71,0.076,0,0.198,0
CORNMEAL.SELF-RISING.BOLTED.PLN.ENR.WHITE,12.59,334,8.28,3.4,5.45,70.28,0,361,5.76,86,1247,2,0.15,0,0.54,0
CORNMEAL.SELF-RISING.BOLTED.PLN.ENR.YEL,12.59,334,8.28,3.4,5.45,70.28,0,361,5.76,86,1247,2,0.15,0,0.54,0
CORNMEAL.SELF-RISING.BOLTED.W/WHEAT FLR.ENR.WHITE,10.33,348,8.41,2.85,4.98,73.43,0,299,4.95,54,1319,1.39,0.139,0,0.385,0
CORNMEAL.SELF-RISING.BOLTED.W/WHEAT FLR.ENR.YEL,10.33,348,8.41,2.85,4.98,73.43,0,299,4.95,54,1319,1.39,0.139,0,0.385,0
CORNMEAL.SELF-RISING.DEGERMED.ENR.WHITE,10.17,355,8.41,1.72,4.91,74.79,0,350,4.73,49,1348,1,0.13,0,0.39,0
CORNMEAL.SELF-RISING.DEGERMED.ENR.YEL,10.17,355,8.41,1.72,4.91,74.79,0,350,4.73,49,1348,1,0.13,0,0.39,0
CORNMEAL.WHITE (NAVAJO),5.42,398,10.99,5.04,1.4,77.14,1.46,11,3.79,125,4,3.24,0.219,0,0.583,0
CORNMEAL.WHOLE-GRAIN.WHITE,10.26,362,8.12,3.59,1.13,76.89,0.64,6,3.45,127,35,1.82,0.193,0,0.304,0
CORNMEAL.WHOLE-GRAIN.YEL,10.26,362,8.12,3.59,1.13,76.89,0.64,6,3.45,127,35,1.82,0.193,0,0.304,0
CORNMEAL.YEL (NAVAJO),10.15,384,9.85,5.88,1.22,72.9,1.56,6,2.99,107,4,3.1,0.242,0,0.59,0
CORNNUTS.BARBECUE-FLAVOR,1.6,436,9,14.3,3.4,71.7,0,17,1.7,109,976,1.88,0.136,0.4,0.187,0
CORNNUTS.NACHO-FLAVOR,2.1,438,9.4,14.2,2.7,71.6,0,35,1.68,109,634,1.8,0.152,15.5,0.205,2
CORNNUTS.PLAIN,1.3,446,8.5,15.64,2.7,71.86,0.61,9,1.67,113,549,1.78,0.115,0,0.229,0
CORNSALAD.RAW,92.8,21,2,0.4,1.2,3.6,0,38,2.18,13,4,0.59,0.134,38.2,0.273,0
CORNSTARCH,8.32,381,0.26,0.05,0.09,91.27,0,2,0.47,3,9,0.06,0.05,0,0,0
COTTONSEED FLR.LOFAT (GLANDLESS),6.9,332,49.83,1.41,5.76,36.1,0,474,12.58,716,35,11.61,1.172,2.4,0.764,0
COTTONSEED FLR.PART DEFATTED (GLANDLESS),6.3,359,40.96,6.2,6,40.54,0,478,12.66,721,35,11.69,1.18,2.4,0.769,0
COTTONSEED KRNLS.RSTD (GLANDLESS),4.65,506,32.59,36.29,4.58,21.9,0,100,5.4,440,25,6,1.2,9,0.782,0
COTTONSEED MEAL.PART DEFATTED (GLANDLESS),1.2,367,49.1,4.77,6.5,38.43,0,504,13.35,760,37,12.32,0.001,2.5,0.811,0
COUSCOUS.COOKED,72.57,112,3.79,0.16,0.26,23.22,0.1,8,0.38,8,5,0.26,0.041,0,0.051,0
COUSCOUS.DRY,8.56,376,12.76,0.64,0.62,77.43,0,24,1.08,44,10,0.83,0.247,0,0.11,0
COWPEAS (BLACKEYES).IMMAT SEEDS.CKD.BLD.DRND.W/SALT,75.48,94,3.17,0.38,1.24,19.73,3.23,128,1.12,52,240,1.03,0.133,2.2,0.065,0
COWPEAS (BLACKEYES).IMMAT SEEDS.CKD.BLD.DRND.WO/SALT,75.48,97,3.17,0.38,0.65,20.32,3.23,128,1.12,52,4,1.03,0.133,2.2,0.065,0
COWPEAS (BLACKEYES).IMMAT SEEDS.FRZ.CKD.BLD.DRND.W/SALT,66.1,131,8.49,0.66,1.25,23.5,4.46,23,2.12,50,241,1.42,0.184,2.6,0.095,0
COWPEAS (BLACKEYES).IMMAT SEEDS.FRZ.UNPREP,64.15,139,8.98,0.7,1.05,25.13,0,26,2.35,55,6,1.58,0.205,4,0.106,0
COWPEAS (BLACKEYES).IMMAT SEEDS.RAW,77.2,90,2.95,0.35,0.67,18.83,3,126,1.1,51,4,1.01,0.13,2.5,0.067,0
COWPEAS (BLACKEYES).IMMTRE SEEDS.FRZ.CKD.BLD.DRND.WO/SALT,66.1,132,8.49,0.66,0.99,23.76,4.46,23,2.12,50,5,1.42,0.184,2.6,0.095,0
COWPEAS.CATJANG.MATURE SEEDS.CKD.BLD.W/SALT,69.7,117,8.13,0.71,1.16,20.32,0,26,3.05,96,255,1.87,0.271,0.4,0.092,0
COWPEAS.CATJANG.MATURE SEEDS.CKD.BLD.WO/SALT,69.7,117,8.13,0.71,1.16,20.32,0,26,3.05,96,19,1.87,0.271,0.4,0.092,0
COWPEAS.CATJANG.MATURE SEEDS.RAW,11.05,343,23.85,2.07,3.39,59.64,0,85,9.95,333,58,6.11,1.059,1.5,0.361,0
COWPEAS.COMMON (BLACKEYES.CROWDER.SOUTHERN).MTRE SEEDS.RAW,11.95,336,23.52,1.26,3.24,60.03,6.9,110,8.27,184,16,3.37,0.845,1.5,0.357,0
COWPEAS.COMMON (BLKEYES.CRWDR.STHRN).MTURE.CKD.BLD.WO/SALT,70.04,116,7.73,0.53,0.94,20.76,3.3,24,2.51,53,4,1.29,0.268,0.4,0.1,0
COWPEAS.COMMON.MATURE SEEDS.CKD.BLD.W/SALT,70.04,116,7.73,0.53,0.94,20.76,3.3,24,2.51,53,240,1.29,0.268,0.4,0.1,0
COWPEAS.COMMON.MATURE SEEDS.CND W/PORK,77.59,83,2.74,1.6,1.54,16.53,0,17,1.42,43,350,1.04,0.17,0.2,0.045,7
COWPEAS.COMMON.MATURE SEEDS.CND.PLN,79.63,77,4.74,0.55,1.45,13.63,0,20,0.97,28,299,0.7,0.117,2.7,0.045,0
COWPEAS.LEAFY TIPS.CKD.BLD.DRND.W/SALT,91.3,22,4.67,0.1,1.13,2.8,0,69,1.09,62,242,0.24,0.154,18.4,0.135,0
COWPEAS.LEAFY TIPS.CKD.BLD.DRND.WO/SALT,91.3,22,4.67,0.1,1.13,2.8,0,69,1.09,62,6,0.24,0.154,18.4,0.135,0
COWPEAS.LEAFY TIPS.RAW,89.78,29,4.1,0.25,1.05,4.82,0,63,1.92,43,7,0.29,0.191,36,0.177,0
COWPEAS.YOUNG PODS W/SEEDS.CKD.BLD.DRND.W/SALT,89.5,34,2.6,0.3,0.6,7,0,55,0.7,41,239,0.24,0.071,17,0.123,0
COWPEAS.YOUNG PODS W/SEEDS.CKD.BLD.DRND.WO/SALT,89.5,34,2.6,0.3,0.6,7,0,55,0.7,41,3,0.24,0.071,17,0.123,0
COWPEAS.YOUNG PODS W/SEEDS.RAW,86,44,3.3,0.3,0.9,9.5,0,65,1,58,4,0.34,0.1,33,0.173,0
CRAB.ALASKA KING.CKD.MOIST HEAT,77.55,97,19.35,1.54,1.85,0,0,59,0.76,63,1072,7.62,1.182,7.6,0.18,53
CRAB.ALASKA KING.IMITN.MADE FROM SURIMI,74.66,95,7.62,0.46,2.26,15,6.25,13,0.39,43,841,0.33,0.032,0,0.13,20
CRAB.ALASKA KING.RAW,79.57,84,18.29,0.6,1.8,0,0,46,0.59,49,836,5.95,0.922,7,0.15,42
CRAB.BLUE.CANNED,76.16,99,20.52,1.23,2.05,0,0,101,0.84,39,333,4.02,0.76,2.7,0.15,89
CRAB.BLUE.CKD.MOIST HEAT,77.43,102,20.2,1.77,2,0,0,104,0.91,33,279,4.22,0.645,3.3,0.18,100
CRAB.BLUE.CRAB CAKES,71,155,20.21,7.52,2.1,0.48,0,105,1.08,33,330,4.09,0.61,2.8,0.17,150
CRAB.BLUE.RAW,79.02,87,18.06,1.08,1.81,0.04,0,89,0.74,34,293,3.54,0.669,3,0.15,78
CRAB.DUNGENESS.CKD.MOIST HEAT,73.31,110,22.32,1.24,2.18,0.95,0,59,0.43,58,378,5.47,0.734,3.6,0.173,76
CRAB.DUNGENESS.RAW,79.18,86,17.41,0.97,1.7,0.74,0,46,0.37,45,295,4.27,0.674,3.5,0.15,59
CRAB.QUEEN.CKD.MOIST HEAT,75.1,115,23.72,1.51,2.56,0,0,33,2.88,63,691,3.59,0.621,7.2,0.173,71
CRAB.QUEEN.RAW,80.58,90,18.5,1.18,2,0,0,26,2.5,49,539,2.8,0.57,7,0.15,55
CRABAPPLES.RAW,78.94,76,0.4,0.3,0.42,19.95,0,18,0.36,7,1,0,0.067,8,0,0
CRACKER BARREL.CHICK TENDERLOIN PLATTER.FRIED.FRM KID'S MENU,45.26,284,19.21,15.07,2.59,17.87,0,11,0.62,29,684,0.67,0.059,0,0.533,42
CRACKER BARREL.COUNTRY FRIED SHRIMP PLATTER,39.42,336,11.96,21.62,3.53,23.47,0,124,0.73,20,1136,0.85,0.14,0,0.072,82
CRACKER BARREL.FARM RAISED CATFISH PLATTER,52.32,266,22.94,17.05,2.38,5.31,0,43,0.71,34,414,0.94,0.048,0,0.182,67
CRACKER BARREL.GRILLED SIRLOIN STEAK,59.43,202,29.99,9.04,1.4,0.15,0,6,3.52,26,134,5.67,0.124,0,0.643,86
CRACKER BARREL.MACARONI N' CHS PLATE.FROM KID'S MENU,66.93,173,7.03,9.35,1.59,15.1,0,159,0.75,19,359,0.98,0.065,0,0.067,16
CRACKER BARREL.STEAK FRIES,55.67,226,3.25,10.65,1.24,29.19,0,20,0.59,27,48,0.42,0.142,0,0.243,0
CRACKER MEAL,7.6,383,9.3,1.7,0.6,80.9,0.33,23,4.64,24,28,0.69,0.225,0,0.039,0
CRACKERS.CHEESE.REGULAR,3.1,503,10.1,25.3,3.3,58.2,0.28,151,4.77,36,995,1.13,0.21,0,0.553,13
CRACKERS.CHS.LO NA,3.1,503,10.1,25.3,3.3,58.2,0.28,151,4.77,36,458,1.13,0.21,0,0.553,13
CRACKERS.CHS.SANDWICH-TYPE W/ CHS FILLING,4.81,490,8.92,24.41,3.1,58.76,12.33,89,2.13,28,878,0.57,0.242,2.6,0.114,6
CRACKERS.CHS.SANDWICH-TYPE W/PNUT BUTTER FILLING,3.28,496,12.41,25.12,2.46,56.74,6.98,50,2.72,56,710,1.04,0.302,0,0.151,0
CRACKERS.CRISPBREAD.RYE,6.1,366,7.9,1.3,2.4,82.2,1.07,31,2.43,78,264,2.39,0.255,0,0.21,0
CRACKERS.MATZO.EGG,6.4,391,12.3,2.1,0.6,78.6,0,40,2.7,24,21,0.73,0.155,0.1,0.054,83
CRACKERS.MATZO.EGG&ONION,7.2,391,10,3.9,1.8,77.1,0,36,4.37,30,285,0.73,0.08,0.2,0.111,45
CRACKERS.MATZO.PLAIN,4.3,395,10,1.4,0.6,83.7,0.29,13,3.16,25,2,0.68,0.06,0,0.115,0
CRACKERS.MATZO.WHOLE-WHEAT,4.8,351,13.1,1.5,1.6,78.9,0,23,4.65,134,2,2.61,0.35,0,0.159,0
CRACKERS.MELBA TOAST.PLN,5.1,390,12.1,3.2,3,76.6,0.94,93,3.7,59,829,2.01,0.289,0,0.098,0
CRACKERS.MELBA TOAST.PLN.WO/SALT,5.1,390,12.1,3.2,3,76.6,0,93,3.7,59,19,2.01,0.289,0,0.098,0
CRACKERS.MELBA TOAST.RYE (INCL PUMPERNICKEL),4.9,389,11.6,3.4,2.9,77.3,0,78,3.68,39,899,1.36,0.401,0,0.086,0
CRACKERS.MELBA TOAST.WHEAT,5.5,374,12.9,2.3,2.9,76.4,0,43,4.5,56,837,1.5,0.265,0,0.103,0
CRACKERS.MILK,4.7,455,7.6,15.8,2.2,69.7,16.44,172,3.58,22,592,0.67,0.227,0.2,0.037,11
CRACKERS.RUSK TOAST,5.5,407,13.5,7.2,1.2,72.3,0,27,2.72,36,253,1.1,0.245,0,0.047,78
CRACKERS.RYE.SANDWICH-TYPE W/CHS FILLING,3.8,481,9.2,22.3,3.9,60.8,0,222,2.45,37,1044,0.7,0.096,0.4,0.076,9
CRACKERS.RYE.WAFERS.PLAIN,5,334,9.6,0.9,4.1,80.4,1.01,40,5.94,121,794,2.8,0.461,0.1,0.271,0
CRACKERS.RYE.WAFERS.SEASONED,4,381,9,9.2,4,73.8,0,44,3.04,106,887,2.55,0.495,0.1,0.19,0
CRACKERS.SALTINES (INCL OYSTER.SODA.SOUP),4.03,421,9.5,8.85,3.28,74.34,2.22,21,5.13,25,1116,0.82,0.156,0,0.06,0
CRACKERS.SALTINES.FAT-FREE.LOW-SODIUM,3.4,393,10.5,1.6,2.2,82.3,0.38,22,7.72,26,636,0.94,0.145,0,0.085,0
CRACKERS.SALTINES.LO SALT (INCL OYSTER.SODA.SOUP),4.03,421,9.5,8.85,3.28,74.34,2.22,119,5.13,25,636,0.82,0.156,0,0.06,0
CRACKERS.SALTINES.UNSALTED TOPS (INCL OYSTER.SODA.SOUP),4.1,434,9.2,11.8,3.3,71.5,0,119,5.4,27,766,0.77,0.199,0,0.038,0
CRACKERS.STD SNACK-TYPE.REG,3.46,504,6.6,25.83,2.74,61.37,7.45,95,3.81,18,865,0.58,0.11,0,0.055,0
CRACKERS.STD SNACK-TYPE.REG.LO SALT,3.5,502,7.4,25.3,2.8,61,1.79,120,3.6,27,373,0.68,0.213,0,0.053,0
CRACKERS.STD SNACK-TYPE.SNDWCH.W/CHS FILLING,3.9,477,9.3,21.1,4,61.7,3.18,257,2.39,36,1401,0.62,0.082,0.1,0.049,2
CRACKERS.STD SNACK-TYPE.SNDWCH.W/PNUT BUTTER FILLING,2.93,494,11.47,24.54,2.68,58.38,10.5,81,2.77,55,718,1.13,0.324,0,0.148,0
CRACKERS.WHEAT.LOW SALT,3.1,473,8.6,20.6,2.8,64.9,13.04,49,4.4,62,283,1.6,0.318,0,0.136,0
CRACKERS.WHEAT.RED FAT,2.73,444,9.34,13.37,3.04,71.52,15.01,80,5.02,47,866,1.74,0.223,0,0.15,0
CRACKERS.WHEAT.REGULAR,3.18,456,8.95,17.36,3.15,67.35,13.8,81,4.69,46,918,1.73,0.214,0,0.147,0
CRACKERS.WHEAT.SNDWCH.W/CHS FILLING,3.2,497,9.8,25,3.8,58.2,0,204,2.62,54,913,0.87,0.16,1.5,0.261,7
CRACKERS.WHEAT.SNDWCH.W/PNUT BUTTER FILLING,3.4,495,13.5,26.7,2.6,53.8,0,170,2.67,38,807,0.82,0.055,0,0.137,0
CRACKERS.WHOLE-WHEAT,2.94,427,10.58,14.13,2.8,69.55,1.19,36,3.34,110,604,2.63,0.42,0,0.185,0
