Name,Water,Energ (kcal),Protein,Lipid,Ash,Carbohydrt,Sugar,Calcium,Iron,Magnesium,Sodium,Zinc,Copper,Vit_C,Vit_B6,Cholestrl
ALLSPICE.GROUND,8.46,263,6.09,8.69,4.65,72.12,0,661,7.06,135,77,1.01,0.553,39.2,0.21,0
ALMOND BUTTER.PLN.W/SALT,1,633,15.08,59.1,3.6,21.22,4.9,270,3.7,303,450,3.05,0.9,0.7,0.076,0
ALMOND BUTTER.PLN.WO/SALT,1,633,15.08,59.1,3.6,21.22,0,270,3.7,303,11,3.05,0.9,0.7,0.076,0
ALMOND PASTE,14.08,458,9,27.74,1.37,47.81,36.25,172,1.6,130,9,1.48,0.454,0.1,0.036,0
ALMONDS,4.7,575,21.22,49.42,2.99,21.67,3.89,264,3.72,268,1,3.08,0.996,0,0.143,0
ALMONDS.BLANCHED,4.47,581,21.94,50.62,3.02,19.94,4.96,216,3.72,275,28,3.12,1.17,0,0.12,0
ALMONDS.DRY RSTD.W/SALT,2.6,597,22.09,52.83,3.2,19.29,4.9,266,4.51,286,339,3.54,1.17,0,0.126,0
ALMONDS.DRY RSTD.WO/SALT,2.6,597,22.09,52.83,3.2,19.29,4.9,266,4.51,286,1,3.54,1.17,0,0.126,0
ALMONDS.HONEY RSTD.UNBLANCHED,1.7,594,18.17,49.9,2.33,27.9,0,263,2.83,240,130,2.6,0.97,0.7,0.085,0
ALMONDS.OIL RSTD.W/SALT,2.8,607,21.23,55.17,3.13,17.68,4.55,291,3.68,274,339,3.07,0.955,0,0.118,0
ALMONDS.OIL RSTD.WO/SALT,2.8,607,21.23,55.17,3.13,17.68,4.55,291,3.68,274,1,3.07,0.955,0,0.118,0
AMARANTH FLAKES,3,353,15.54,7,3.27,71.15,0.42,17,1.76,25,35,0.25,0.214,2.5,0.07,0
AMARANTH GRAIN.CKD,75.16,102,3.8,1.58,0.77,18.69,0,47,2.1,65,6,0.86,0.149,0,0.113,0
AMARANTH LEAVES.CKD.BLD.DRND.W/SALT,91.49,21,2.11,0.18,2.11,4.11,0,209,2.26,55,257,0.88,0.158,41.1,0.177,0
AMARANTH LEAVES.CKD.BLD.DRND.WO/SALT,91.49,21,2.11,0.18,2.11,4.11,0,209,2.26,55,21,0.88,0.158,41.1,0.177,0
AMARANTH LEAVES.RAW,91.69,23,2.46,0.33,1.5,4.02,0,215,2.32,55,20,0.9,0.162,43.3,0.192,0
AMARANTH.UNCKD,11.29,371,13.56,7.02,2.88,65.25,1.69,159,7.61,248,4,2.87,0.525,4.2,0.591,0
ANCHOVY.EUROPEAN.CND IN OIL.DRND SOL,50.3,210,28.89,9.71,11.1,0,0,232,4.63,69,3668,2.44,0.339,0,0.203,85
ANCHOVY.EUROPEAN.RAW,73.37,131,20.35,4.84,1.44,0,0,147,3.25,41,104,1.72,0.211,0,0.143,60
ANIMAL FAT.BACON GREASE,0,897,0,99.5,0.5,0,0,0,0,0,150,0.11,0,0,0,95
ANISE SEED,9.54,337,17.6,15.9,6.95,50.02,0,646,36.96,170,16,5.3,0.91,21,0.65,0
APPLE CIDER-FLAVORED DRK.PDR.LO CAL.W/ VIT C.PREP,99.7,1,0,0,0.1,0.3,0,11,0.03,1,14,0.03,0.015,25,0,0
APPLE CIDER-FLAVORED DRK.PDR.VIT C&SUGAR,0.3,395,0,0,0.9,98.8,80.95,465,0.06,0,95,0,0.001,363,0.002,0
APPLE JUC.CND OR BTLD.UNSWTND.W/ ADDED VIT C,88.24,46,0.1,0.13,0.23,11.3,9.62,8,0.12,5,4,0.02,0.012,38.5,0.018,0
APPLE JUC.CND OR BTLD.UNSWTND.WO/ ADDED VIT C,88.24,46,0.1,0.13,0.23,11.3,9.62,8,0.12,5,4,0.02,0.012,0.9,0.018,0
APPLE JUC.FRZ CONC.UNSWTND.DIL W/3 VOLUME H2O WO/ VIT C,87.9,47,0.14,0.1,0.32,11.54,10.93,6,0.26,5,7,0.04,0.014,0.6,0.033,0
APPLE JUC.FRZ CONC.UNSWTND.DIL W/3 VOLUME H2O.W/ VIT C,87.9,47,0.14,0.1,0.32,11.54,0,6,0.26,5,7,0.04,0.014,25,0.033,0
APPLE JUC.FRZ CONC.UNSWTND.UNDIL.W/ VIT C,57,166,0.51,0.37,1.12,41,38.83,20,0.91,17,25,0.13,0.05,88.9,0.116,0
